Align,DE,Dir,GeneName,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0082017,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0344873,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0089934,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0100470,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0343189,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0073619,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0333334,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0088266,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0112735,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0304665,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0302453,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0344608,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0079199,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0331664,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0331663,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0078346,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0073426,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0073425,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0073292,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0071849,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0077644,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0301487,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0089581,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0330651,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0300649,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0310621,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0336667,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0332720,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0081353,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0301884,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0339563,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0072957,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0089091,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0079061,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0299837,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0472696,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0086280,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0308823,,,,,,,,,
Sailfish,DEseq2,Up,FBtr0072642,,,,,,,,,
