Id	SSD011MYUN	SSD090MYUN	SSD094EPIN	SSD097EPIN	SSD148EPIN	SSD092EPUN	SSD149EPUN	SSD159EPUN	SSD163EPUN	SSD016MYIN	SSD110MYIN	SSD120MYIN	norm.SSD011MYUN	norm.SSD090MYUN	norm.SSD094EPIN	norm.SSD097EPIN	norm.SSD148EPIN	norm.SSD092EPUN	norm.SSD149EPUN	norm.SSD159EPUN	norm.SSD163EPUN	norm.SSD016MYIN	norm.SSD110MYIN	norm.SSD120MYIN	baseMean	MYUN	EPIN	EPUN	MYIN	FC	log2FoldChange	pvalue	padj	tagwise.dispersion	trended.dispersion
gene23627	12384	17138	1804	1055	1769	1638	1262	1932	1163	6405	4149	4852	11349	15352	1636	1047	1969	2075	1516	1692	1740	4844	3686	5364	4355.94	13350	1551	1756	4631	0.347	-1.527	0.000106125078885511	0.0251568629620409	0.0917	0.1268
gene16605	6521	9524	3934	2962	2679	3829	3277	4077	2057	3344	3111	2543	5976	8532	3568	2941	2982	4851	3938	3571	3077	2529	2764	2812	3961.58	7254	3164	3859	2702	0.372	-1.425	0.000120124581174167	0.027571451488547	0.081	0.1253
gene2241	3453	7434	2224	877	1738	1661	1479	1961	1182	2577	1587	1265	3164	6659	2017	871	1934	2104	1777	1718	1768	1949	1410	1399	2230.88	4912	1607	1842	1586	0.323	-1.631	0.000127155178847708	0.0287291232209041	0.1066	0.1173
gene21871	18	49	1639	1931	1565	1808	1187	1095	727	0	14	2	16	44	1486	1917	1742	2291	1426	959	1087	0	12	2	915.33	30	1715	1441	5	0.164	-2.608	0.000142718231122271	0.0308486629029909	0.1969	0.1377
gene29361	30013	36976	990	764	482	1338	950	1336	683	15768	9196	10321	27505	33123	898	759	536	1695	1142	1170	1022	11925	8169	11411	8279.52	30314	731	1257	10502	0.346	-1.529	0.00015335302462439	0.0323041129616876	0.0964	0.1349
gene26432	340	542	595	349	817	362	380	348	284	96	95	124	312	486	540	346	909	459	457	305	425	73	84	137	377.63	399	598	412	98	0.246	-2.026	0.000158581263470448	0.0327583581397525	0.1633	0.2249
gene11892	2128	16364	1330	1281	1733	1347	1806	1839	1220	2064	2526	1975	1950	14659	1206	1272	1929	1707	2170	1611	1825	1561	2244	2184	2859.73	8304	1469	1828	1996	0.24	-2.057	0.000165571551887999	0.0337206287366262	0.1739	0.12
gene20079	2838	2204	581	670	407	501	482	485	162	860	861	678	2601	1974	527	665	453	635	579	425	242	650	765	750	855.52	2288	548	470	722	0.315	-1.664	0.000168780492441673	0.0338967488987026	0.1147	0.1422
gene14764	11541	9028	1639	1365	1682	2167	1003	3267	1404	2951	1918	4097	10577	8087	1486	1355	1872	2746	1205	2862	2100	2232	1704	4530	3396.28	9332	1571	2228	2822	0.302	-1.726	0.000175546365753804	0.0347163176454967	0.1244	0.1227
gene11864	7808	21381	2998	3790	2484	2350	4425	3621	2705	5856	4172	3985	7155	19153	2719	3763	2765	2977	5317	3172	4046	4429	3706	4406	5300.67	13154	3082	3878	4180	0.318	-1.654	0.000184001402548211	0.0350086879058832	0.1152	0.1296
gene25173	255	401	118	148	131	261	95	564	255	97	40	50	234	359	107	147	146	331	114	494	381	73	36	55	206.43	296	133	330	55	0.185	-2.433	0.000196765840282629	0.0360156208922381	0.2389	0.2987
gene3921	101	192	412	390	451	443	282	248	75	8	38	17	93	172	374	387	502	561	339	217	112	6	34	19	234.63	132	421	307	20	0.148	-2.758	0.000196345304432374	0.0360156208922381	0.2929	0.2825
gene8976	11928	11567	2017	1214	1372	2212	1678	1963	953	4366	4445	4008	10931	10362	1829	1205	1527	2803	2016	1720	1425	3302	3949	4431	3791.67	10646	1520	1991	3894	0.366	-1.451	0.000207031385964263	0.0369589363091758	0.0903	0.1246
gene22883	2495	3756	378	533	267	200	315	685	338	1271	863	899	2286	3365	343	529	297	253	379	600	506	961	767	994	939.96	2826	390	434	907	0.321	-1.639	0.000214332365560084	0.0373403133252869	0.1151	0.136
gene23426	2618	6509	644	709	984	932	653	2427	1142	1265	861	1562	2399	5831	584	704	1095	1181	785	2126	1708	957	765	1727	1655.11	4115	794	1450	1150	0.279	-1.84	0.00023541150895197	0.0405244097553035	0.1466	0.1174
gene18454	6114	4000	2201	1395	567	1727	1660	1783	1224	2106	1296	1626	5603	3583	1996	1385	631	2188	1995	1562	1831	1593	1151	1798	2109.62	4593	1337	1894	1514	0.33	-1.601	0.000243261631291738	0.0408646127604023	0.1121	0.117
gene29079	2013	1980	339	537	836	710	246	1045	559	637	469	521	1845	1774	307	533	930	900	296	915	836	482	417	576	817.55	1810	590	737	492	0.272	-1.88	0.00028284200391735	0.0449439052378558	0.1564	0.1455
gene20267	9764	11834	3367	4306	3099	3425	4024	4974	2817	5813	3492	3676	8948	10601	3053	4275	3449	4339	4835	4357	4213	4396	3102	4064	4969.54	9774	3592	4436	3854	0.394	-1.343	0.000314446495526329	0.0469853627201474	0.0821	0.1287
gene23238	7930	20542	560	308	169	513	388	635	475	4850	4677	4028	7267	18402	508	306	188	650	466	556	710	3668	4155	4453	3444.12	12834	334	596	4092	0.319	-1.649	0.000305067866915631	0.0469853627201474	0.1229	0.123
gene28447	9409	7414	22	11	72	16	42	27	23	3468	1725	1162	8623	6641	20	11	80	20	50	24	34	2623	1532	1285	1745.31	7632	37	32	1813	0.238	-2.073	0.0003184091405788	0.0469853627201474	0.1933	0.117
gene3053	2085	5187	3128	2229	3538	2420	2300	3271	2373	1322	1275	1256	1911	4647	2837	2213	3938	3066	2764	2865	3549	1000	1133	1389	2609.2	3279	2996	3061	1174	0.358	-1.482	0.000315392547388477	0.0469853627201474	0.0996	0.1188
gene3656	508	4115	301	98	103	70	152	481	173	323	468	330	466	3686	273	97	115	89	183	421	259	244	416	365	551.08	2076	162	238	342	0.165	-2.603	0.000318434685101967	0.0469853627201474	0.2975	0.1814
gene14232	678	48	486	881	469	163	89	627	255	16	7	65	621	43	441	875	522	207	107	549	381	12	6	72	319.67	332	613	311	30	0.09	-3.472	0.00032281792996057	0.0471509824972712	0.4961	0.2451
gene18299	51	34	93	23	61	141	22	87	0	2	0	0	47	30	84	23	68	179	26	76	0	2	0	0	44.59	38	58	70	1	0.018	-5.832	0.000332681299828276	0.0473296066061786	1.055	0.7856
gene1966	12	22	105	169	279	117	156	173	117	3	2	0	11	20	95	168	311	148	187	152	175	2	2	0	105.88	16	191	166	1	0.101	-3.303	0.000337133435714827	0.0473296066061786	0.3045	0.4184
gene22550	13399	15203	896	847	1004	955	1133	1802	802	7783	4607	4963	12279	13619	813	841	1117	1210	1361	1579	1200	5886	4093	5487	4123.69	12949	924	1338	5155	0.398	-1.329	0.000335331147171003	0.0473296066061786	0.0812	0.1259
gene6572	212	19	345	199	175	369	332	878	588	16	21	17	194	17	313	198	195	468	399	769	879	12	19	19	290.1	106	235	629	17	0.157	-2.673	0.000356310028771725	0.0490689811051347	0.2974	0.2569
