Allign,DE,Dir,GeneName
Bowtie,EdgeR,down,FBtr0083273
Bowtie,EdgeR,down,FBtr0302579
Bowtie,EdgeR,down,FBtr0302034
Bowtie,EdgeR,down,FBtr0345005
Bowtie,EdgeR,down,FBtr0304018
Bowtie,EdgeR,down,FBtr0077247
Bowtie,EdgeR,down,FBtr0076935
Bowtie,EdgeR,down,FBtr0082069
Bowtie,EdgeR,down,FBtr0089716
Bowtie,EdgeR,down,FBtr0332204
Bowtie,EdgeR,down,FBtr0332202
Bowtie,EdgeR,down,FBtr0330306
Bowtie,EdgeR,down,FBtr0301708
Bowtie,EdgeR,down,FBtr0340240
Bowtie,EdgeR,down,FBtr0332403
Bowtie,EdgeR,down,FBtr0343506
Bowtie,EdgeR,down,FBtr0345070
Bowtie,EdgeR,down,FBtr0078136
Bowtie,EdgeR,down,FBtr0077136
Bowtie,EdgeR,down,FBtr0087369
Bowtie,EdgeR,down,FBtr0077236
Bowtie,EdgeR,down,FBtr0113020
Bowtie,EdgeR,down,FBtr0076885
Bowtie,EdgeR,down,FBtr0305073
Bowtie,EdgeR,down,FBtr0083765
Bowtie,EdgeR,down,FBtr0290078
Bowtie,EdgeR,down,FBtr0086555
Bowtie,EdgeR,down,FBtr0334633
Bowtie,EdgeR,down,FBtr0080892
Bowtie,EdgeR,down,FBtr0085987
Bowtie,EdgeR,down,FBtr0081686
Bowtie,EdgeR,down,FBtr0071004
Bowtie,EdgeR,down,FBtr0344978
Bowtie,EdgeR,down,FBtr0076364
Bowtie,EdgeR,down,FBtr0075966
Bowtie,EdgeR,down,FBtr0334404
Bowtie,EdgeR,down,FBtr0304005
Bowtie,EdgeR,down,FBtr0333073
Bowtie,EdgeR,down,FBtr0089512
Bowtie,EdgeR,down,FBtr0089513
Bowtie,EdgeR,down,FBtr0079062
Bowtie,EdgeR,down,FBtr0306239
Bowtie,EdgeR,down,FBtr0081619
Bowtie,EdgeR,down,FBtr0114544
Bowtie,EdgeR,down,FBtr0112994
Bowtie,EdgeR,down,FBtr0334053
Bowtie,EdgeR,down,FBtr0113323
Bowtie,EdgeR,down,FBtr0082452
Bowtie,EdgeR,down,FBtr0300017
Bowtie,EdgeR,down,FBtr0072767
Bowtie,EdgeR,down,FBtr0080397
Bowtie,EdgeR,down,FBtr0089349
Bowtie,EdgeR,down,FBtr0085899
Bowtie,EdgeR,down,FBtr0345339
Bowtie,EdgeR,down,FBtr0087089
Bowtie,EdgeR,down,FBtr0087090
Bowtie,EdgeR,down,FBtr0086474
Bowtie,EdgeR,down,FBtr0088506
Bowtie,EdgeR,down,FBtr0077831
Bowtie,EdgeR,down,FBtr0299920
Bowtie,EdgeR,down,FBtr0074745
Bowtie,EdgeR,down,FBtr0080592
Bowtie,EdgeR,down,FBtr0076496
Bowtie,EdgeR,down,FBtr0072795
Bowtie,EdgeR,down,FBtr0332847
Bowtie,EdgeR,down,FBtr0273416
Bowtie,EdgeR,down,FBtr0330145
Bowtie,EdgeR,down,FBtr0306087
Bowtie,EdgeR,down,FBtr0076668
Bowtie,EdgeR,down,FBtr0333013
Bowtie,EdgeR,down,FBtr0300889
Bowtie,EdgeR,down,FBtr0305679
Bowtie,EdgeR,down,FBtr0079003
Bowtie,EdgeR,down,FBtr0073422
Bowtie,EdgeR,down,FBtr0072506
Bowtie,EdgeR,down,FBtr0301143
Bowtie,EdgeR,down,FBtr0339629
Bowtie,EdgeR,down,FBtr0112808
Bowtie,EdgeR,down,FBtr0112807
Bowtie,EdgeR,down,FBtr0113386
Bowtie,EdgeR,down,FBtr0084927
Bowtie,EdgeR,down,FBtr0347201
Bowtie,EdgeR,down,FBtr0347200
Bowtie,EdgeR,down,FBtr0301501
Bowtie,EdgeR,down,FBtr0082057
Bowtie,EdgeR,down,FBtr0087870
Bowtie,EdgeR,down,FBtr0302151
Bowtie,EdgeR,down,FBtr0089989
Bowtie,EdgeR,down,FBtr0091719
Bowtie,EdgeR,down,FBtr0340125
Bowtie,EdgeR,down,FBtr0085307
Bowtie,EdgeR,up,FBtr0072393
Bowtie,EdgeR,up,FBtr0087390
Bowtie,EdgeR,up,FBtr0337056
Bowtie,EdgeR,up,FBtr0079708
Bowtie,EdgeR,up,FBtr0336736
Bowtie,EdgeR,up,FBtr0088550
