,Align,DE,Dir,GeneName
133,bowtie2,DESeq2,up,FBtr0304914
134,bowtie2,DESeq2,up,FBtr0304925
135,bowtie2,DESeq2,up,FBtr0305063
136,bowtie2,DESeq2,up,FBtr0305073
137,bowtie2,DESeq2,up,FBtr0306087
138,bowtie2,DESeq2,up,FBtr0306239
139,bowtie2,DESeq2,up,FBtr0307092
140,bowtie2,DESeq2,up,FBtr0308213
141,bowtie2,DESeq2,up,FBtr0308564
142,bowtie2,DESeq2,up,FBtr0308594
143,bowtie2,DESeq2,up,FBtr0308621
144,bowtie2,DESeq2,up,FBtr0308823
145,bowtie2,DESeq2,up,FBtr0310064
146,bowtie2,DESeq2,up,FBtr0310435
147,bowtie2,DESeq2,up,FBtr0310643
148,bowtie2,DESeq2,up,FBtr0310669
149,bowtie2,DESeq2,up,FBtr0310673
150,bowtie2,DESeq2,up,FBtr0329879
151,bowtie2,DESeq2,up,FBtr0330145
152,bowtie2,DESeq2,up,FBtr0330306
153,bowtie2,DESeq2,up,FBtr0330617
154,bowtie2,DESeq2,up,FBtr0330631
155,bowtie2,DESeq2,up,FBtr0331308
156,bowtie2,DESeq2,up,FBtr0332038
157,bowtie2,DESeq2,up,FBtr0332125
158,bowtie2,DESeq2,up,FBtr0332202
159,bowtie2,DESeq2,up,FBtr0332403
160,bowtie2,DESeq2,up,FBtr0332478
161,bowtie2,DESeq2,up,FBtr0332604
162,bowtie2,DESeq2,up,FBtr0332720
163,bowtie2,DESeq2,up,FBtr0332911
164,bowtie2,DESeq2,up,FBtr0332912
165,bowtie2,DESeq2,up,FBtr0332960
166,bowtie2,DESeq2,up,FBtr0332963
167,bowtie2,DESeq2,up,FBtr0333058
168,bowtie2,DESeq2,up,FBtr0333071
169,bowtie2,DESeq2,up,FBtr0333073
170,bowtie2,DESeq2,up,FBtr0333326
171,bowtie2,DESeq2,up,FBtr0333659
172,bowtie2,DESeq2,up,FBtr0333852
173,bowtie2,DESeq2,up,FBtr0333860
174,bowtie2,DESeq2,up,FBtr0334078
175,bowtie2,DESeq2,up,FBtr0334404
176,bowtie2,DESeq2,up,FBtr0334633
177,bowtie2,DESeq2,up,FBtr0334778
178,bowtie2,DESeq2,up,FBtr0334883
179,bowtie2,DESeq2,up,FBtr0335180
180,bowtie2,DESeq2,up,FBtr0335278
181,bowtie2,DESeq2,up,FBtr0335414
182,bowtie2,DESeq2,up,FBtr0336667
183,bowtie2,DESeq2,up,FBtr0336942
184,bowtie2,DESeq2,up,FBtr0337020
185,bowtie2,DESeq2,up,FBtr0339391
186,bowtie2,DESeq2,up,FBtr0339443
187,bowtie2,DESeq2,up,FBtr0339629
188,bowtie2,DESeq2,up,FBtr0339682
189,bowtie2,DESeq2,up,FBtr0339696
190,bowtie2,DESeq2,up,FBtr0339741
191,bowtie2,DESeq2,up,FBtr0340135
192,bowtie2,DESeq2,up,FBtr0340190
193,bowtie2,DESeq2,up,FBtr0340240
194,bowtie2,DESeq2,up,FBtr0342607
195,bowtie2,DESeq2,up,FBtr0342806
196,bowtie2,DESeq2,up,FBtr0342810
197,bowtie2,DESeq2,up,FBtr0342813
198,bowtie2,DESeq2,up,FBtr0342814
199,bowtie2,DESeq2,up,FBtr0342818
200,bowtie2,DESeq2,up,FBtr0342893
201,bowtie2,DESeq2,up,FBtr0343527
202,bowtie2,DESeq2,up,FBtr0344860
203,bowtie2,DESeq2,up,FBtr0344978
204,bowtie2,DESeq2,up,FBtr0344989
205,bowtie2,DESeq2,up,FBtr0345070
206,bowtie2,DESeq2,up,FBtr0345429
207,bowtie2,DESeq2,up,FBtr0346541
208,bowtie2,DESeq2,up,FBtr0346627
209,bowtie2,DESeq2,up,FBtr0346713
210,bowtie2,DESeq2,up,FBtr0346714
211,bowtie2,DESeq2,up,FBtr0346957
212,bowtie2,DESeq2,up,FBtr0347200
213,bowtie2,DESeq2,up,FBtr0347567
214,bowtie2,DESeq2,up,FBtr0347568
215,bowtie2,DESeq2,up,FBtr0472696
216,bowtie2,DESeq2,down,FBtr0070393
217,bowtie2,DESeq2,down,FBtr0070985
218,bowtie2,DESeq2,down,FBtr0071240
219,bowtie2,DESeq2,down,FBtr0071835
220,bowtie2,DESeq2,down,FBtr0071934
221,bowtie2,DESeq2,down,FBtr0072087
222,bowtie2,DESeq2,down,FBtr0072393
223,bowtie2,DESeq2,down,FBtr0072410
224,bowtie2,DESeq2,down,FBtr0072561
225,bowtie2,DESeq2,down,FBtr0072864
226,bowtie2,DESeq2,down,FBtr0072956
227,bowtie2,DESeq2,down,FBtr0072967
228,bowtie2,DESeq2,down,FBtr0073269
229,bowtie2,DESeq2,down,FBtr0073339
230,bowtie2,DESeq2,down,FBtr0073421
231,bowtie2,DESeq2,down,FBtr0073423
232,bowtie2,DESeq2,down,FBtr0073527
233,bowtie2,DESeq2,down,FBtr0073531
234,bowtie2,DESeq2,down,FBtr0074337
235,bowtie2,DESeq2,down,FBtr0074842
236,bowtie2,DESeq2,down,FBtr0074916
237,bowtie2,DESeq2,down,FBtr0075039
238,bowtie2,DESeq2,down,FBtr0075077
239,bowtie2,DESeq2,down,FBtr0075204
240,bowtie2,DESeq2,down,FBtr0075354
241,bowtie2,DESeq2,down,FBtr0075560
242,bowtie2,DESeq2,down,FBtr0075753
243,bowtie2,DESeq2,down,FBtr0075811
244,bowtie2,DESeq2,down,FBtr0076218
245,bowtie2,DESeq2,down,FBtr0076459
246,bowtie2,DESeq2,down,FBtr0076541
247,bowtie2,DESeq2,down,FBtr0076771
248,bowtie2,DESeq2,down,FBtr0077234
249,bowtie2,DESeq2,down,FBtr0077259
250,bowtie2,DESeq2,down,FBtr0077409
251,bowtie2,DESeq2,down,FBtr0077560
252,bowtie2,DESeq2,down,FBtr0077645
253,bowtie2,DESeq2,down,FBtr0077910
254,bowtie2,DESeq2,down,FBtr0077972
255,bowtie2,DESeq2,down,FBtr0078083
256,bowtie2,DESeq2,down,FBtr0078144
257,bowtie2,DESeq2,down,FBtr0078191
258,bowtie2,DESeq2,down,FBtr0078204
259,bowtie2,DESeq2,down,FBtr0078687
260,bowtie2,DESeq2,down,FBtr0078811
261,bowtie2,DESeq2,down,FBtr0078812
262,bowtie2,DESeq2,down,FBtr0078937
263,bowtie2,DESeq2,down,FBtr0079042
264,bowtie2,DESeq2,down,FBtr0079077
265,bowtie2,DESeq2,down,FBtr0079648
266,bowtie2,DESeq2,down,FBtr0079667
267,bowtie2,DESeq2,down,FBtr0079708
268,bowtie2,DESeq2,down,FBtr0080261
269,bowtie2,DESeq2,down,FBtr0080514
270,bowtie2,DESeq2,down,FBtr0080565
271,bowtie2,DESeq2,down,FBtr0080589
272,bowtie2,DESeq2,down,FBtr0080838
273,bowtie2,DESeq2,down,FBtr0080932
274,bowtie2,DESeq2,down,FBtr0081004
275,bowtie2,DESeq2,down,FBtr0081008
276,bowtie2,DESeq2,down,FBtr0081211
277,bowtie2,DESeq2,down,FBtr0081354
278,bowtie2,DESeq2,down,FBtr0081484
279,bowtie2,DESeq2,down,FBtr0081958
280,bowtie2,DESeq2,down,FBtr0082117
281,bowtie2,DESeq2,down,FBtr0082139
282,bowtie2,DESeq2,down,FBtr0082158
283,bowtie2,DESeq2,down,FBtr0082183
284,bowtie2,DESeq2,down,FBtr0082494
285,bowtie2,DESeq2,down,FBtr0082812
286,bowtie2,DESeq2,down,FBtr0083058
287,bowtie2,DESeq2,down,FBtr0083764
288,bowtie2,DESeq2,down,FBtr0083967
289,bowtie2,DESeq2,down,FBtr0084054
290,bowtie2,DESeq2,down,FBtr0084447
291,bowtie2,DESeq2,down,FBtr0084549
292,bowtie2,DESeq2,down,FBtr0084659
293,bowtie2,DESeq2,down,FBtr0084958
294,bowtie2,DESeq2,down,FBtr0084963
295,bowtie2,DESeq2,down,FBtr0085094
296,bowtie2,DESeq2,down,FBtr0085146
297,bowtie2,DESeq2,down,FBtr0085156
298,bowtie2,DESeq2,down,FBtr0085209
299,bowtie2,DESeq2,down,FBtr0085353
300,bowtie2,DESeq2,down,FBtr0085377
301,bowtie2,DESeq2,down,FBtr0085423
302,bowtie2,DESeq2,down,FBtr0085708
303,bowtie2,DESeq2,down,FBtr0085735
304,bowtie2,DESeq2,down,FBtr0085755
305,bowtie2,DESeq2,down,FBtr0085997
306,bowtie2,DESeq2,down,FBtr0086272
307,bowtie2,DESeq2,down,FBtr0086670
308,bowtie2,DESeq2,down,FBtr0086983
309,bowtie2,DESeq2,down,FBtr0087004
310,bowtie2,DESeq2,down,FBtr0087115
311,bowtie2,DESeq2,down,FBtr0087295
312,bowtie2,DESeq2,down,FBtr0087307
313,bowtie2,DESeq2,down,FBtr0087390
314,bowtie2,DESeq2,down,FBtr0087528
315,bowtie2,DESeq2,down,FBtr0087533
316,bowtie2,DESeq2,down,FBtr0087621
317,bowtie2,DESeq2,down,FBtr0087789
318,bowtie2,DESeq2,down,FBtr0088100
319,bowtie2,DESeq2,down,FBtr0088224
320,bowtie2,DESeq2,down,FBtr0088337
321,bowtie2,DESeq2,down,FBtr0088370
322,bowtie2,DESeq2,down,FBtr0088522
323,bowtie2,DESeq2,down,FBtr0088602
324,bowtie2,DESeq2,down,FBtr0088774
325,bowtie2,DESeq2,down,FBtr0088902
326,bowtie2,DESeq2,down,FBtr0088996
327,bowtie2,DESeq2,down,FBtr0089162
328,bowtie2,DESeq2,down,FBtr0089343
329,bowtie2,DESeq2,down,FBtr0089348
330,bowtie2,DESeq2,down,FBtr0089359
331,bowtie2,DESeq2,down,FBtr0089361
332,bowtie2,DESeq2,down,FBtr0089484
333,bowtie2,DESeq2,down,FBtr0089877
334,bowtie2,DESeq2,down,FBtr0089937
335,bowtie2,DESeq2,down,FBtr0089963
336,bowtie2,DESeq2,down,FBtr0100129
337,bowtie2,DESeq2,down,FBtr0100375
338,bowtie2,DESeq2,down,FBtr0100457
339,bowtie2,DESeq2,down,FBtr0100595
340,bowtie2,DESeq2,down,FBtr0110938
341,bowtie2,DESeq2,down,FBtr0110971
342,bowtie2,DESeq2,down,FBtr0111028
343,bowtie2,DESeq2,down,FBtr0111030
344,bowtie2,DESeq2,down,FBtr0112532
345,bowtie2,DESeq2,down,FBtr0112740
346,bowtie2,DESeq2,down,FBtr0112851
347,bowtie2,DESeq2,down,FBtr0113011
348,bowtie2,DESeq2,down,FBtr0113113
349,bowtie2,DESeq2,down,FBtr0113190
350,bowtie2,DESeq2,down,FBtr0113291
351,bowtie2,DESeq2,down,FBtr0113451
352,bowtie2,DESeq2,down,FBtr0113470
353,bowtie2,DESeq2,down,FBtr0273370
354,bowtie2,DESeq2,down,FBtr0273385
355,bowtie2,DESeq2,down,FBtr0289981
