Align,DE,Dir,GeneName
sailfish,edgeR,up,FBtr0301501
sailfish,edgeR,up,FBtr0332604
sailfish,edgeR,up,FBtr0306576
sailfish,edgeR,down,FBtr0072393
sailfish,edgeR,down,FBtr0087390
sailfish,edgeR,down,FBtr0343633
sailfish,edgeR,down,FBtr0079708
sailfish,edgeR,down,FBtr0078384
sailfish,edgeR,down,FBtr0088550
sailfish,edgeR,down,FBtr0082183
sailfish,edgeR,down,FBtr0087307
sailfish,edgeR,down,FBtr0071835
sailfish,edgeR,down,FBtr0306917
sailfish,edgeR,down,FBtr0070393
sailfish,edgeR,down,FBtr0082790
sailfish,edgeR,down,FBtr0080391
sailfish,edgeR,down,FBtr0336467
sailfish,edgeR,down,FBtr0086975
sailfish,edgeR,down,FBtr0073378
sailfish,edgeR,down,FBtr0080617
sailfish,edgeR,down,FBtr0089963
sailfish,edgeR,down,FBtr0087008
sailfish,edgeR,down,FBtr0339643
sailfish,edgeR,down,FBtr0300190
sailfish,edgeR,down,FBtr0071935
sailfish,edgeR,down,FBtr0305668
sailfish,edgeR,down,FBtr0333119
sailfish,edgeR,down,FBtr0074916
sailfish,edgeR,down,FBtr0345114
sailfish,edgeR,down,FBtr0075389
sailfish,edgeR,down,FBtr0080838
sailfish,edgeR,down,FBtr0085755
sailfish,edgeR,down,FBtr0071105
sailfish,edgeR,down,FBtr0304933
sailfish,edgeR,down,FBtr0085249
sailfish,edgeR,down,FBtr0301414
sailfish,edgeR,down,FBtr0088370
sailfish,edgeR,down,FBtr0112851
sailfish,edgeR,down,FBtr0333662
sailfish,edgeR,down,FBtr0081008
sailfish,edgeR,down,FBtr0087004
sailfish,edgeR,down,FBtr0100457
sailfish,edgeR,down,FBtr0089484
sailfish,edgeR,down,FBtr0308034
sailfish,edgeR,down,FBtr0310647
sailfish,edgeR,down,FBtr0087621
sailfish,edgeR,down,FBtr0112532
sailfish,edgeR,down,FBtr0087431
sailfish,edgeR,down,FBtr0303756
sailfish,edgeR,down,FBtr0085715
sailfish,edgeR,down,FBtr0070457
sailfish,edgeR,down,FBtr0306255
sailfish,edgeR,down,FBtr0075753
sailfish,edgeR,down,FBtr0333020
sailfish,edgeR,down,FBtr0332148
sailfish,edgeR,down,FBtr0100361
sailfish,edgeR,down,FBtr0082208
sailfish,edgeR,down,FBtr0089877
sailfish,edgeR,down,FBtr0075927
sailfish,edgeR,down,FBtr0111030
sailfish,edgeR,down,FBtr0111029
sailfish,edgeR,down,FBtr0302694
sailfish,edgeR,down,FBtr0087257
sailfish,edgeR,down,FBtr0344230
sailfish,edgeR,down,FBtr0302645
sailfish,edgeR,down,FBtr0085094
sailfish,edgeR,down,FBtr0334309
sailfish,edgeR,down,FBtr0344403
sailfish,edgeR,down,FBtr0082139
sailfish,edgeR,down,FBtr0303787
sailfish,edgeR,down,FBtr0300612
sailfish,edgeR,down,FBtr0307520
sailfish,edgeR,down,FBtr0336616
sailfish,edgeR,down,FBtr0339755
sailfish,edgeR,down,FBtr0308065
sailfish,edgeR,down,FBtr0301403
sailfish,edgeR,down,FBtr0100595
sailfish,edgeR,down,FBtr0335178
sailfish,edgeR,down,FBtr0087295
sailfish,edgeR,down,FBtr0302938
sailfish,edgeR,down,FBtr0306107
sailfish,edgeR,down,FBtr0330159
sailfish,edgeR,down,FBtr0087533
sailfish,edgeR,down,FBtr0087534
sailfish,edgeR,down,FBtr0084659
sailfish,edgeR,down,FBtr0082025
sailfish,edgeR,down,FBtr0330730
sailfish,edgeR,down,FBtr0079491
sailfish,edgeR,down,FBtr0072087
sailfish,edgeR,down,FBtr0304621
sailfish,edgeR,down,FBtr0087789
sailfish,edgeR,down,FBtr0290019
sailfish,edgeR,down,FBtr0330269
sailfish,edgeR,down,FBtr0332529
sailfish,edgeR,down,FBtr0330118
sailfish,edgeR,down,FBtr0074715
sailfish,edgeR,down,FBtr0078915
sailfish,edgeR,down,FBtr0301504
sailfish,edgeR,down,FBtr0079077
sailfish,edgeR,down,FBtr0300599
sailfish,edgeR,down,FBtr0343424
sailfish,edgeR,down,FBtr0301131
sailfish,edgeR,down,FBtr0088996
