transcript_id	gene_id	length	effective_length	expected_count	TPM	FPKM	IsoPct
FBtr0080499	FBtr0080499	6023	5981.57	814.36	9.96	6.40	100.00
FBtr0080500	FBtr0080500	3041	2999.57	65.20	1.59	1.02	100.00
FBtr0080501	FBtr0080501	1198	1156.57	0.00	0.00	0.00	0.00
FBtr0080502	FBtr0080502	2749	2707.57	7.73	0.21	0.13	100.00
FBtr0080507	FBtr0080507	835	793.57	13.00	1.20	0.77	100.00
FBtr0080508	FBtr0080508	1293	1251.57	8.44	0.49	0.32	100.00
FBtr0080509	FBtr0080509	5605	5563.57	3460.87	45.52	29.26	100.00
FBtr0080510	FBtr0080510	6651	6609.57	0.00	0.00	0.00	100.00
FBtr0080511	FBtr0080511	1335	1293.57	0.00	0.00	0.00	100.00
FBtr0080512	FBtr0080512	1684	1642.57	115.00	5.12	3.29	100.00
FBtr0080513	FBtr0080513	5920	5878.57	2411.38	30.02	19.29	100.00
FBtr0080514	FBtr0080514	5743	5701.57	0.00	0.00	0.00	100.00
FBtr0080515	FBtr0080515	751	709.57	36.49	3.76	2.42	100.00
FBtr0080516	FBtr0080516	488	446.57	11.00	1.80	1.16	100.00
FBtr0080517	FBtr0080517	1894	1852.57	0.00	0.00	0.00	0.00
FBtr0080518	FBtr0080518	1960	1918.57	0.00	0.00	0.00	0.00
FBtr0080519	FBtr0080519	1335	1293.57	487.00	27.55	17.71	100.00
FBtr0080520	FBtr0080520	737	695.57	1.00	0.11	0.07	100.00
FBtr0080521	FBtr0080521	491	449.57	1.00	0.16	0.10	100.00
FBtr0080522	FBtr0080522	2209	2167.57	19.70	0.67	0.43	100.00
FBtr0080523	FBtr0080523	825	783.57	0.00	0.00	0.00	100.00
FBtr0080524	FBtr0080524	790	748.57	24663.87	2410.93	1549.62	100.00
FBtr0080525	FBtr0080525	1044	1002.57	169.40	12.36	7.95	100.00
FBtr0080526	FBtr0080526	1002	960.57	301.60	22.98	14.77	100.00
FBtr0080527	FBtr0080527	1915	1873.57	8.00	0.31	0.20	100.00
FBtr0080528	FBtr0080528	2425	2383.57	0.00	0.00	0.00	0.00
